family,instance_name,parity,param_n,param_p,param_seed,param_trial,param_rows,param_cols,param_n_left,param_n_right,param_remove_fraction,n,m,density,lp_value,lp_runtime_sec,lp_num_fractional,lp_num_at_half,lp_is_integral,rounded_size,rounded_feasible,rounded_vs_lp_ratio,rounding_runtime_sec,greedy_size,greedy_feasible,greedy_runtime_sec,greedy_vs_lp_ratio,ilp_value,ilp_runtime_sec,rounded_vs_ilp_ratio,greedy_vs_ilp_ratio,integrality_gap
random,random_n10_p0.5_t2,,10.0,0.5,2070.0,2.0,,,,,,10,26,0.5777777777777777,5.0,0.015083085978403687,10,10,False,10,True,2.0,7.72089697420597e-06,7,True,0.00020022399257868528,1.4,7.0,0.02254183602053672,1.4285714285714286,1.0,1.4
random,random_n10_p0.8_t1,,10.0,0.8,2090.0,1.0,,,,,,10,39,0.8666666666666667,5.0,0.013453365070745349,10,10,False,10,True,2.0,8.556991815567017e-06,8,True,0.00023861101362854242,1.6,8.0,0.022857164032757282,1.25,1.0,1.6
random,random_n10_p0.8_t0,,10.0,0.8,2080.0,0.0,,,,,,10,40,0.8888888888888888,5.0,0.016357995104044676,10,10,False,10,True,2.0,1.108099240809679e-05,8,True,0.0005265009822323918,1.6,8.0,0.02865257894154638,1.25,1.0,1.6
random,random_n10_p0.8_t2,,10.0,0.8,2100.0,2.0,,,,,,10,40,0.8888888888888888,5.0,0.013687254977412522,10,10,False,10,True,2.0,5.827983841300011e-06,8,True,0.0002414350165054202,1.6,8.0,0.022928639082238078,1.25,1.0,1.6
random,random_n10_p0.9_t0,,10.0,0.9,2090.0,0.0,,,,,,10,41,0.9111111111111111,5.0,0.013685317011550069,10,10,False,10,True,2.0,6.9160014390945435e-06,8,True,0.0002138810232281685,1.6,8.0,0.022428144933655858,1.25,1.0,1.6
random,random_n10_p0.9_t1,,10.0,0.9,2100.0,1.0,,,,,,10,41,0.9111111111111111,5.0,0.012656235019676387,10,10,False,10,True,2.0,6.538000889122486e-06,8,True,0.000225794967263937,1.6,8.0,0.02190979791339487,1.25,1.0,1.6
random,random_n10_p0.9_t2,,10.0,0.9,2110.0,2.0,,,,,,10,44,0.9777777777777777,5.0,0.012144676060415804,10,10,False,10,True,2.0,8.473987691104412e-06,8,True,0.0002317270264029503,1.6,8.0,0.025146186002530158,1.25,1.0,1.6
random,random_n16_p0.15_t1,,16.0,0.15,2625.0,1.0,,,,,,16,14,0.11666666666666667,6.0,0.011972032953053713,0,0,True,6,True,1.0,6.863032467663288e-06,6,True,0.00018598802853375673,1.0,6.0,0.016987884999252856,1.0,1.0,1.0
random,random_n16_p0.15_t0,,16.0,0.15,2615.0,0.0,,,,,,16,16,0.13333333333333333,6.0,0.011396105051971972,0,0,True,6,True,1.0,6.357091479003429e-06,6,True,0.00019591802265495062,1.0,6.0,0.016218716045841575,1.0,1.0,1.0
random,random_n16_p0.15_t2,,16.0,0.15,2635.0,2.0,,,,,,16,18,0.15,7.0,0.012744711944833398,14,14,False,14,True,2.0,7.417984306812286e-06,7,True,0.0002232060069218278,1.0,7.0,0.018111275974661112,2.0,1.0,1.0
random,random_n16_p0.3_t1,,16.0,0.3,2640.0,1.0,,,,,,16,30,0.25,8.0,0.013658059993758798,16,16,False,16,True,2.0,7.017981261014938e-06,8,True,0.00027982599567621946,1.0,8.0,0.019401407917030156,2.0,1.0,1.0
random,random_n16_p0.3_t0,,16.0,0.3,2630.0,0.0,,,,,,16,31,0.25833333333333336,7.5,0.014347644988447428,13,13,False,14,True,1.8666666666666667,8.933944627642632e-06,8,True,0.0002794030588120222,1.0666666666666667,8.0,0.021127549931406975,1.75,1.0,1.0666666666666667
random,random_n16_p0.3_t2,,16.0,0.3,2650.0,2.0,,,,,,16,38,0.31666666666666665,8.0,0.016466856002807617,16,16,False,16,True,2.0,8.146977052092552e-06,9,True,0.0002784859389066696,1.125,9.0,0.018865304067730904,1.7777777777777777,1.0,1.125
random,random_n16_p0.5_t2,,16.0,0.5,2670.0,2.0,,,,,,16,57,0.475,8.0,0.018455875921063125,16,16,False,16,True,2.0,5.368958227336407e-06,11,True,0.0003087060758844018,1.375,11.0,0.024236375000327826,1.4545454545454546,1.0,1.375
random,random_n16_p0.5_t0,,16.0,0.5,2650.0,0.0,,,,,,16,65,0.5416666666666666,8.0,0.016572322929278016,16,16,False,16,True,2.0,7.539987564086914e-06,13,True,0.0003739669919013977,1.625,12.0,0.027945504989475012,1.3333333333333333,1.0833333333333333,1.5
random,random_n16_p0.5_t1,,16.0,0.5,2660.0,1.0,,,,,,16,66,0.55,8.0,0.018042238079942763,16,16,False,16,True,2.0,1.0394025593996048e-05,12,True,0.00038238801062107086,1.5,12.0,0.028256069985218346,1.3333333333333333,1.0,1.5
random,random_n16_p0.8_t1,,16.0,0.8,2690.0,1.0,,,,,,16,85,0.7083333333333334,8.0,0.016010913997888565,16,16,False,16,True,2.0,6.299931555986404e-06,13,True,0.00039006699807941914,1.625,13.0,0.03117919503711164,1.2307692307692308,1.0,1.625
random,random_n16_p0.8_t0,,16.0,0.8,2680.0,0.0,,,,,,16,92,0.7666666666666667,8.0,0.016713520046323538,16,16,False,16,True,2.0,7.52799678593874e-06,13,True,0.0006534729618579149,1.625,13.0,0.03285072895232588,1.2307692307692308,1.0,1.625
random,random_n16_p0.8_t2,,16.0,0.8,2700.0,2.0,,,,,,16,98,0.8166666666666667,8.0,0.01629791804589331,16,16,False,16,True,2.0,7.75093212723732e-06,13,True,0.0003655820619314909,1.625,13.0,0.03782395995222032,1.2307692307692308,1.0,1.625
random,random_n16_p0.9_t0,,16.0,0.9,2690.0,0.0,,,,,,16,101,0.8416666666666667,8.0,0.016732805059291422,16,16,False,16,True,2.0,8.278992027044296e-06,13,True,0.0005476130172610283,1.625,13.0,0.038224161020480096,1.2307692307692308,1.0,1.625
random,random_n16_p0.9_t1,,16.0,0.9,2700.0,1.0,,,,,,16,107,0.8916666666666667,8.0,0.016402026056312025,16,16,False,16,True,2.0,7.221009582281113e-06,14,True,0.0004532120656222105,1.75,14.0,0.04566903691738844,1.1428571428571428,1.0,1.75
random,random_n16_p0.9_t2,,16.0,0.9,2710.0,2.0,,,,,,16,107,0.8916666666666667,8.0,0.015430094092153013,16,16,False,16,True,2.0,7.438939064741135e-06,14,True,0.00041152897756546736,1.75,14.0,0.04282849095761776,1.1428571428571428,1.0,1.75
